year,team
2018,Virginia
2018,UMBC
2018,Creighton
2018,"Kansas St."
2018,Kentucky
2018,Davidson
2018,Arizona
2018,Buffalo
2018,"Miami (Fla.)"
2018,"Loyola Chicago"
2018,Tennessee
2018,"Wright State"
2018,Nevada
2018,Texas
2018,Cincinnati
2018,"Georgia State"
2018,Villanova
2018,Radford
2018,"Virginia Tech"
2018,Alabama
2018,"West Virginia"
2018,"Murray State"
2018,"Wichita State"
2018,Marshall
2018,Florida
2018,"St. Bonaventure"
2018,"Texas Tech"
2018,SFA
2018,Arkansas
2018,Butler
2018,Purdue
2018,"CSU Fullerton"
2018,Xavier
2018,"Texas Southern"
2018,Missouri
2018,"Florida State"
2018,"Ohio St. "
2018,"South Dakota St."
2018,Gonzaga
2018,UNCG
2018,Houston
2018,"San Diego State"
2018,Michigan
2018,Montana
2018,"Texas A&M"
2018,Providence
2018,"North Carolina"
2018,Lipscomb
2018,Kansas
2018,Penn
2018,"Seton Hall"
2018,"NC State"
2018,Clemson
2018,"New Mexico St."
2018,Auburn
2018,Charleston
2018,TCU
2018,Syracuse
2018,"Mich. St. "
2018,Bucknell
2018,"Rhode Island"
2018,Oklahoma
2018,Duke
2018,Iona
